2026-04-02 18:33:36 [wxauto4(41.1.2)] [DEBUG] [chatbox.py:154]  发送消息: 你好！很高兴见到你，有什么我可以帮助你的吗？
2026-04-02 18:33:37 [wechat_custody] [INFO] [wechat_client.py:122]  发送消息给 迟遇: 你好！很高兴见到你，有什么我可以帮助你的吗？...
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing <function connect.<locals>.connector at 0x0000023F4A2D6CA0>
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation <function connect.<locals>.connector at 0x0000023F4A2D6CA0> completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259990>, '\n                INSERT INTO messages (contact_id, msg_type, content, timestamp)\n                VALUES (?, ?, ?, ?)\n            ', (3, 'sent', '你好！很高兴见到你，有什么我可以帮助你的吗？', '2026-04-02T18:33:37.256079'))
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259990>, '\n                INSERT INTO messages (contact_id, msg_type, content, timestamp)\n                VALUES (?, ?, ?, ?)\n            ', (3, 'sent', '你好！很高兴见到你，有什么我可以帮助你的吗？', '2026-04-02T18:33:37.256079')) completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method commit of sqlite3.Connection object at 0x0000023F4A259990>)
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method commit of sqlite3.Connection object at 0x0000023F4A259990>) completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259990>)
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259990>) completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6D30>
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation <function Connection.stop.<locals>.close_and_stop at 0x0000023F4A2D6D30> completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing <function connect.<locals>.connector at 0x0000023F4A2D6E50>
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation <function connect.<locals>.connector at 0x0000023F4A2D6E50> completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259990>, 'SELECT * FROM conversation_context WHERE contact_id = ?', (3,))
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method execute of sqlite3.Connection object at 0x0000023F4A259990>, 'SELECT * FROM conversation_context WHERE contact_id = ?', (3,)) completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method fetchone of sqlite3.Cursor object at 0x0000023F4959BB20>)
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method fetchone of sqlite3.Cursor object at 0x0000023F4959BB20>) completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000023F4959BB20>)
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:67]  operation functools.partial(<built-in method close of sqlite3.Cursor object at 0x0000023F4959BB20>) completed
2026-04-02 18:33:37 [aiosqlite] [DEBUG] [core.py:62]  executing functools.partial(<built-in method close of sqlite3.Connection object at 0x0000023F4A259990>)
